Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
retail sales associate,"Posted on March 15, 2024",1000642698 Ontario Inc.,"Elliot Lake, ON",17.50 HOUR,32.5 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 to less than 7 months,"Operate cash register, Perform data entry, Provide customer service, Assist in display of merchandise, Greet customers and discuss type, quality and quantity of merchandise or services sought for purchase, rental or lease, Prepare merchandise for purchase, rental or lease, Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment",,2024-04-14,https://www.jobbank.gc.ca/jobsearch/jobposting/40525006?source=searchresults
hotel managing supervisor,"Posted on March 18, 2024",DAYS INN BRAMPTON,"Brampton, ON",22.00 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Perform same duties as workers supervised, Co-ordinate, assign and review work, Maintain operation of computer systems, equipment, machinery and arrange repair work to ensure business continuity and customer service delivery, Establish work schedules and procedures and co-ordinate activities with other work units or departments, Hire and train staff in job duties, safety procedures and company policies, Resolve work-related problems and prepare and submit progress and other reports",,2024-04-17,https://www.jobbank.gc.ca/jobsearch/jobposting/40546989?source=searchresults
farm supervisor,"Posted on March 05, 2024",Nature Fresh Farms Inc.,"Leamington, ON",21.50 HOUR,40 to 60 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"No degree, certificate or diploma",1 to less than 7 months,"Cut horticultural crops, Deleafing, Greenhouse cleaning, Level earth to fine grade specifications, Remove manually all suckers and water sprouts, Tie and secure plants, Co-ordinate and supervise the work of general farm workers and harvesting labourers, Develop work schedules and establish procedures, Ensure farm safety and bio-security procedures are followed, Maintain quality control and production records, Supervise and oversee growing and other crop-related operations, Perform general farm duties, More than 20 people","Dental plan, Health care plan, Paramedical services coverage, As per collective agreement",2024-04-04,https://www.jobbank.gc.ca/jobsearch/jobposting/40430625?source=searchresults
retail store supervisor,"Posted on February 29, 2024",2083347 Ontario Inc.,"Brampton, ON",22.80 HOUR,30 to 35 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,2 years to less than 3 years,"Supervise staff (apprentices, stages hands, design team, etc.), Assign sales workers to duties, Authorize return of merchandise, Establish work schedules, Sell merchandise, Prepare reports on sales volumes, merchandising and personnel matters, Resolve issues that may arise, including customer requests, complaints and supply shortages, Organize and maintain inventory, Supervise and co-ordinate activities of workers",,2024-04-27,https://www.jobbank.gc.ca/jobsearch/jobposting/40396946?source=searchresults
social worker,"Posted on March 26, 2024",FunctionAbility Rehabilitation Services,"Ottawa, ON",,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40625828?source=searchresults
structural engineer,"Posted on March 19, 2024",Englobe Corp.,"Toronto, ON",,,Full time,Starts as soon as possible,1 vacancy,,,,,,2024-04-18,https://www.jobbank.gc.ca/jobsearch/jobposting/40554376?source=searchresults
bar manager,"Posted on March 07, 2024",Boston Pizza,"Scarborough, ON",27.00 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,College/CEGEP,1 year to less than 2 years,"Plan, organize, direct, control and evaluate daily operations, Ensure health and safety regulations are followed, Participate in marketing plans and implementation, Set staff work schedules and monitor staff performance, Address customers' complaints or concerns, Provide customer service, Recruit, train and supervise staff, 3-4 people",,2024-04-17,https://www.jobbank.gc.ca/jobsearch/jobposting/40449098?source=searchresults
programmer analyst,"Posted on March 26, 2024",CTDI,"Oakville, ON",,,,Starts as soon as possible,1 vacancy,,,,,,2024-04-26,https://www.jobbank.gc.ca/jobsearch/jobposting/40633459?source=searchresults
food service supervisor,"Posted on March 18, 2024",2773916 Ontario Inc.,"Mississauga, ON",17.00 HOUR,30 to 45 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Estimate ingredient and supplies required for meal preparation, Ensure that food and service meet quality control standards, Address customers' complaints or concerns, Prepare and submit reports, Supervise and check assembly of trays, Supervise and check delivery of food trolleys, Establish work schedules, 1 to 2 people, 3-4 people",Other benefits,2024-04-01,https://www.jobbank.gc.ca/jobsearch/jobposting/40552967?source=searchresults
plumber helper,"Posted on March 22, 2024",Numinous Creations Inc.,"Mississauga, ON",24.50 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"Secondary (high) school graduation certificate

or equivalent experience",Experience an asset,"Erect and dismantle concrete forms, scaffolding, ramps, catwalks shoring and barricades, Mix, pour and spread materials such as concrete and asphalt, Pave and rake asphalt, Perform routine maintenance work",,2024-04-21,https://www.jobbank.gc.ca/jobsearch/jobposting/40592014?source=searchresults
