Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
sous-chef,"Posted on January 29, 2024",902776 N.W.T. Limited,"Iqaluit, NU",20.00 HOUR,38.5 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,Secondary (high) school graduation certificate,2 years to less than 3 years,"Maintain records of food costs, consumption, sales and inventory, Analyze operating costs and other data, Prepare and cook food on a regular basis, or for special guests or functions, Prepare and cook meals or specialty foods, Requisition food and kitchen supplies, Arrange for equipment purchases and repairs, Consult with clients regarding weddings, banquets and specialty functions, Estimate food requirements and food and labour costs, Plan and direct food preparation and cooking activities of several restaurants, Plan menus and ensure food meets quality standards, Prepare dishes for customers with food allergies or intolerances, Recruit and hire staff, Supervise activities of sous-chefs, specialist chefs, chefs and cooks, Train staff in preparation, cooking and handling of food","Dental plan, Health care plan, Life insurance, Other benefits",2024-04-18,https://www.jobbank.gc.ca/jobsearch/jobposting/40147616?source=searchresults
dental assistant,"Posted on February 13, 2024",IQALUIT DENTAL CLINIC,"Iqaluit, NU",27.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",1 year to less than 2 years,"Prepare patients for dental examinations, Order dental and office supplies, Prepare dental instruments and filling materials, Perform reception and clerical duties, Sterilize and maintain instruments and equipment, Educate patients concerning oral hygiene, Polish teeth and clinical crowns and apply fluoride and sealant, Schedule and confirm appointments, Perform intra-oral duties, Take and develop X-rays, Record dental procedures performed on patients, Fabricate and place temporary crowns and restorations, Take preliminary impressions for diagnostic casts","Dental plan, Disability benefits, Health care plan, Registered Retirement Savings Plan (RRSP)",2024-04-25,https://www.jobbank.gc.ca/jobsearch/jobposting/40277370?source=searchresults
retail store department head,"Posted on December 05, 2023",The North West Company LP,"Cambridge Bay, NU","43,000 YEAR",37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Hire and train or arrange for training of staff, Establish work schedules, Sell merchandise, Resolve issues that may arise, including customer requests, complaints and supply shortages","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits",2024-04-03,https://www.jobbank.gc.ca/jobsearch/jobposting/39723202?source=searchresults
plumber,"Posted on March 22, 2024",Jago Services Inc,"Cambridge Bay, NU",35.00 HOUR,50 to 60 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Other trades certificate or diploma,5 years or more,"Read blueprints, drawings and specifications to determine layout of plumbing system, water supply network and waste and drainage systems, Install, repair and maintain domestic, commercial or industrial plumbing fixtures and systems, Instruct apprentices, Locate and mark positions for pipe connections, passage holes and fixtures in walls and floors, Cut opening in walls and floors to accommodate pipe and pipe fittings, Join pipes using couplings, clamps, screws, bolts, cement or soldering, brazing and welding equipment, Test pipes for leaks using air and water pressure gauges, Determine piping system requirements and pipe sizing, Measure, cut, thread and bend pipes to required shape and size","On-site housing options, Transportation provided by employer",2024-04-05,https://www.jobbank.gc.ca/jobsearch/jobposting/40590745;jsessionid=F4CE0B03C1B9592CA87E9B5792CFF8FB.jobsearch74?source=searchresults
plumber helper,"Posted on December 29, 2023",NUNAVUT EXCAVATING,"Iqaluit, NU",26.00 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,Experience an asset,"Load, unload and transport construction materials, Mix, pour and spread materials such as concrete and asphalt, Assist in aligning pipes during pipeline construction, Clean and pile salvaged materials, Perform routine maintenance work, Direct traffic at or near construction sites, Read and interpret blueprints",Free parking available,2024-04-07,https://www.jobbank.gc.ca/jobsearch/jobposting/39899258?source=searchresults
retail store department head,"Posted on March 29, 2024",The North West Company LP,"Iqaluit, NU","43,000 YEAR",37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,5 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Hire and train or arrange for training of staff, Establish work schedules, Sell merchandise, Resolve issues that may arise, including customer requests, complaints and supply shortages","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits",2024-04-28,https://www.jobbank.gc.ca/jobsearch/jobposting/40658439;jsessionid=F4CE0B03C1B9592CA87E9B5792CFF8FB.jobsearch74?source=searchresults
grocery clerk,"Posted on December 05, 2023",The North West Company LP,"Cape Dorset, NU",18.00 HOUR,37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"No degree, certificate or diploma",Experience an asset,"Bag, box or parcel purchases for customers, for shipment or delivery, Obtain articles for customers from shelf or stockroom, Order stock, Record incoming stock, Keep stock clean and in order, Price items using stamp or stickers according to price list, Perform general cleaning duties (i.e. sweeping, mopping floors), Operate cash register, Order picking, Provide customer service","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits",2024-04-03,https://www.jobbank.gc.ca/jobsearch/jobposting/39723198?source=searchresults
painter,"Posted on January 29, 2024",902776 N.W.T. Limited,"Iqaluit, NU",25.00 HOUR,38.5 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"No degree, certificate or diploma",1 year to less than 2 years,"Prepare, clean and sand surfaces to be painted, Repair cracks and holes, Mix paint to desired colour and texture, Measure, cut and apply wallpaper and other fabric to walls, Advise consumers on colours and choice of wall coverings, Erect scaffolding and swing stages and attach rigging, Apply paint, wallpaper and other materials and finishes to interior and exterior surfaces, Estimate costs and materials","Dental plan, Health care plan, Life insurance, Other benefits",2024-04-18,https://www.jobbank.gc.ca/jobsearch/jobposting/40147599?source=searchresults
sous-chef,"Posted on February 28, 2024",Kaapitaarvik Inc.,"Iqaluit, NU",28.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,College/CEGEP,3 years to less than 5 years,"Prepare and cook complete meals and specialty foods for events such as banquets, Supervise cooks and other kitchen staff, Prepare and cook food on a regular basis, or for special guests or functions, Prepare and cook meals or specialty foods, Requisition food and kitchen supplies, Estimate food requirements and food and labour costs, Prepare dishes for customers with food allergies or intolerances, Train staff in preparation, cooking and handling of food",,2024-03-29,https://www.jobbank.gc.ca/jobsearch/jobposting/40384092?source=searchresults
comptroller,"Posted on March 28, 2024",Scout Talent Inc.,"Cambridge Bay, NU","117,746 YEAR",40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Bachelor's degree,5 years or more,,"Dental plan, Health care plan, Bonus, Pension plan, On-site housing options, Other benefits",2024-04-22,https://www.jobbank.gc.ca/jobsearch/jobposting/40650798;jsessionid=F4CE0B03C1B9592CA87E9B5792CFF8FB.jobsearch74?source=searchresults
