Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
food service supervisor,"Posted on December 25, 2023",4912 N.W.T. Ltd.,"Yellowknife, NT",16.50 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Ensure that food and service meet quality control standards, Address customers' complaints or concerns, Maintain records of stock, repairs, sales and wastage, Prepare and submit reports, Prepare food order summaries for chef, Establish work schedules","Dental plan, Health care plan, Life insurance, Other benefits",2024-04-08,https://www.jobbank.gc.ca/jobsearch/jobposting/39868880?source=searchresults
tour guide supervisor,"Posted on March 26, 2024",Jackpine Paddle Incorporated,"Yellowknife, NT",25.00 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,English,College/CEGEP,2 years to less than 3 years,"Perform same duties as workers supervised, Assist clients/guests with special needs, Co-ordinate, assign and review work, Hire and train staff in job duties, safety procedures and company policies, Resolve work-related problems and prepare and submit progress and other reports, 11-15 people",,2024-04-25,https://www.jobbank.gc.ca/jobsearch/jobposting/40620633;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
"plumber, residential construction","Posted on March 15, 2024",6072 nwt ltd,"Yellowknife, NT",50.00 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"Registered Apprenticeship certificate

or equivalent experience",1 year to less than 2 years,,,2024-04-14,https://www.jobbank.gc.ca/jobsearch/jobposting/40528277;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
veterinarian,"Posted on February 08, 2024",Great Slave Animal Hospital Ltd.,"Yellowknife, NT",52.50 HOUR,37 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"Degree in medicine, dentistry, veterinary medicine or optometry

or equivalent experience",1 year to less than 2 years,"Diagnose diseases or abnormal conditions in individual animals, herds and flocks through physical examinations or laboratory tests, Treat sick or injured animals by prescribing medication, setting bones, dressing wounds or performing surgery, Vaccinate animals to prevent and treat diseases, Advise clients on feeding, housing, behaviour, breeding, hygiene and general care of animals, Provide a range of veterinary services including obstetrics, dentistry and euthanasia, Responsible for overall operation of animal hospital, clinic or mobile service to farms, Supervise animal health technologists and animal care workers, 3-4 people",,2024-04-20,https://www.jobbank.gc.ca/jobsearch/jobposting/40235089?source=searchresults
automotive service technician,"Posted on January 27, 2024",Yellowknife Motors,"Yellowknife, NT",39.77 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"Registered Apprenticeship certificate

or equivalent experience",3 years to less than 5 years,"Inspect motor in operation, road test motor vehicles and test automotive systems and components, Adjust, repair or replace parts and components of automotive systems, Test and adjust repaired systems to manufacturer's specifications, Estimate parts and labour cost to perform vehicle maintenance and repairs, Perform scheduled maintenance service, Review work orders and discuss work with supervisor",Group insurance benefits,2024-04-21,https://www.jobbank.gc.ca/jobsearch/jobposting/40133684?source=searchresults
cook,"Posted on January 23, 2024",Sushi Cafe,"Yellowknife, NT",20.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,2 years to less than 3 years,"Prepare and cook complete meals or individual dishes and foods, Train staff in preparation, cooking and handling of food, Maintain inventory and records of food, supplies and equipment, Manage kitchen operations",,2024-04-17,https://www.jobbank.gc.ca/jobsearch/jobposting/40095684?source=searchresults
truck owner operator,"Posted on March 07, 2024",Overland West,"Yellowknife, NT",,,,Starts as soon as possible,1 vacancy,,,,,,2024-04-07,https://www.jobbank.gc.ca/jobsearch/jobposting/40456193?source=searchresults
shift manager - fast food restaurant,"Posted on March 20, 2024",KFC/Taco Bell/Pizza Hut,"Yellowknife, NT",21.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",7 months to less than 1 year,"Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits",2024-04-19,https://www.jobbank.gc.ca/jobsearch/jobposting/40571878;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
front desk agent,"Posted on February 10, 2024",Ptarmigan Inn Hotels Ltd,"Hay River, NT",17.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,Experience an asset,"Register arriving guests and assign rooms, Process group arrivals and departures, Take, cancel and change room reservations, Provide information on hotel facilities and services, Provide general information about points of interest in the area, Process guests' departures, calculate charges and receive payments, Balance cash and complete balance sheets, cash reports and related forms, Maintain an inventory of vacancies, reservations and room assignments, Follow emergency and safety procedures, Clerical duties (i.e. faxing, filing, photocopying), Answer telephone and relay telephone calls and messages, Assist clients/guests with special needs, Perform light housekeeping and cleaning duties, Provide customer service",Health care plan,2024-04-05,https://www.jobbank.gc.ca/jobsearch/jobposting/40250788?source=searchresults
