Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,url
office administrator,"Posted on December 19, 2023",RH Courier Ltd.,"Yellowknife, NT",38.00 HOUR,32 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 to less than 7 months,"Review and evaluate new administrative procedures, Establish work priorities and ensure procedures are followed and deadlines are met, Perform data entry, Oversee and co-ordinate office administrative procedures, Resolve conflict situations, Oversee payroll administration, No supervision responsibility",Free parking available,https://www.jobbank.gc.ca/jobsearch/jobposting/40279718?source=searchresults
cook,"Posted on January 22, 2024",984260 NWT Ltd,"Fort Smith, NT",20.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"No degree, certificate or diploma",2 years to less than 3 years,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Inspect kitchens and food service areas, Supervise kitchen staff and helpers, Clean kitchen and work areas, Manage kitchen operations",,https://www.jobbank.gc.ca/jobsearch/jobposting/40083594?source=searchresults
aircraft sales representative,"Posted on March 11, 2024",Wajax Limited,"Yellowknife, NT",,,Full time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40480845?source=searchresults
housekeeping room attendant,"Posted on January 18, 2024",PELICAN RAPIDS DEVELOPMENT LTD,"Fort Smith, NT",21.20 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"Secondary (high) school graduation certificate

or equivalent experience",Will train,"Sweep, mop, wash and polish floors, Dust furniture, Vacuum carpeting, area rugs, draperies and upholstered furniture, Make beds and change sheets, Distribute clean towels and toiletries, Stock linen closet, Clean, disinfect and polish kitchen and bathroom fixtures and appliances, Disinfect operating rooms and other areas, Handle and report lost and found items, Attend to guests' requests for extra supplies or other items, Pick up debris and empty trash containers, Clean changing rooms and showers, Address customers' complaints or concerns",,https://www.jobbank.gc.ca/jobsearch/jobposting/40055936?source=searchresults
executive housekeeper,"Posted on February 10, 2024",Ptarmigan Inn Hotels Ltd,"Hay River, NT",20.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Plan and co-ordinate activities of housekeeping supervisors and crews, Co-ordinate inspection of assigned areas, Supervise staff, Co-ordinate contract services, Ensure that safety standards and departmental policies are met, Supervise maintenance and repair services, Co-ordinate maintenance and repair services, Maintain inventory of supplies, equipment and uniforms, Supervise in-house laundry services, Co-ordinate in-house laundry services, Schedule and assign duties of housekeeping staff",Health care plan,https://www.jobbank.gc.ca/jobsearch/jobposting/40250746?source=searchresults
food service supervisor,"Posted on January 16, 2024",Soul Restaurants Canada Inc,"Yellowknife, NT",16.50 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,4 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Ensure that food and service meet quality control standards, Address customers' complaints or concerns, Maintain records of stock, repairs, sales and wastage, Supervise and check assembly of trays",,https://www.jobbank.gc.ca/jobsearch/jobposting/40031875?source=searchresults
"supervisor, security guards","Posted on February 05, 2024",Northern Security Services INC.,"Yellowknife, NT",25.00 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,7 months to less than 1 year,"Arrange for maintenance and repair work, Be the point of contact when in need to handle emergency situations, Co-ordinate activities with other work units or departments, Ensure smooth operation of computer equipment and machinery, Establish work schedules and procedures, Monitor quality and production levels, Prepare and submit progress and other reports, Resolve work problems, provide technical advice and recommend measures to improve productivity and product quality, Supervise, co-ordinate and schedule (and possibly review) activities of workers, Train staff/workers in job duties, safety procedures and company policies",,https://www.jobbank.gc.ca/jobsearch/jobposting/40205872?source=searchresults
building inspector,"Posted on March 21, 2024",City of Yellowknife,"Yellowknife, NT","90,760.5 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40583518?source=searchresults
"sales representative, commercial and industrial equipment and supplies","Posted on March 26, 2024",Ron's Auto Service Ltd,"Yellowknife, NT",24.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"Secondary (high) school graduation certificate

or equivalent experience",2 years to less than 3 years,"Identify and solicit potential clients, Conduct sales transactions, Provide clients with presentations on the benefits and uses of goods or services","Dental plan, Disability benefits, Health care plan, Life insurance, Deferred Profit Sharing Plan (DPSP)",https://www.jobbank.gc.ca/jobsearch/jobposting/40624694;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
"guard, security","Posted on February 05, 2024",Northern Security Services INC.,"Yellowknife, NT",18.00 HOUR,32 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,Will train,"Assist clients/guests with special needs, Produce reports, Check age identification of patrons, Enforce regulations to maintain order and resolve conflicts and to monitor establishment activities, Investigate unlawful acts of employees or patrons of establishments and recommend security systems, Operate security control room equipment, Patrol assigned areas, Perform security checks of passengers and luggage",,https://www.jobbank.gc.ca/jobsearch/jobposting/40205868?source=searchresults
