Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,url
food service supervisor,"Posted on December 25, 2023",4912 N.W.T. Ltd.,"Yellowknife, NT",16.50 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Ensure that food and service meet quality control standards, Address customers' complaints or concerns, Maintain records of stock, repairs, sales and wastage, Prepare and submit reports, Prepare food order summaries for chef, Establish work schedules","Dental plan, Health care plan, Life insurance, Other benefits",https://www.jobbank.gc.ca/jobsearch/jobposting/39868880?source=searchresults
tour guide supervisor,"Posted on March 26, 2024",Jackpine Paddle Incorporated,"Yellowknife, NT",25.00 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,English,College/CEGEP,2 years to less than 3 years,"Perform same duties as workers supervised, Assist clients/guests with special needs, Co-ordinate, assign and review work, Hire and train staff in job duties, safety procedures and company policies, Resolve work-related problems and prepare and submit progress and other reports, 11-15 people",,https://www.jobbank.gc.ca/jobsearch/jobposting/40620633;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
"plumber, residential construction","Posted on March 15, 2024",6072 nwt ltd,"Yellowknife, NT",50.00 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"Registered Apprenticeship certificate

or equivalent experience",1 year to less than 2 years,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40528277;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
veterinarian,"Posted on February 08, 2024",Great Slave Animal Hospital Ltd.,"Yellowknife, NT",52.50 HOUR,37 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"Degree in medicine, dentistry, veterinary medicine or optometry

or equivalent experience",1 year to less than 2 years,"Diagnose diseases or abnormal conditions in individual animals, herds and flocks through physical examinations or laboratory tests, Treat sick or injured animals by prescribing medication, setting bones, dressing wounds or performing surgery, Vaccinate animals to prevent and treat diseases, Advise clients on feeding, housing, behaviour, breeding, hygiene and general care of animals, Provide a range of veterinary services including obstetrics, dentistry and euthanasia, Responsible for overall operation of animal hospital, clinic or mobile service to farms, Supervise animal health technologists and animal care workers, 3-4 people",,https://www.jobbank.gc.ca/jobsearch/jobposting/40235089?source=searchresults
automotive service technician,"Posted on January 27, 2024",Yellowknife Motors,"Yellowknife, NT",39.77 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"Registered Apprenticeship certificate

or equivalent experience",3 years to less than 5 years,"Inspect motor in operation, road test motor vehicles and test automotive systems and components, Adjust, repair or replace parts and components of automotive systems, Test and adjust repaired systems to manufacturer's specifications, Estimate parts and labour cost to perform vehicle maintenance and repairs, Perform scheduled maintenance service, Review work orders and discuss work with supervisor",Group insurance benefits,https://www.jobbank.gc.ca/jobsearch/jobposting/40133684?source=searchresults
cook,"Posted on January 23, 2024",Sushi Cafe,"Yellowknife, NT",20.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,2 years to less than 3 years,"Prepare and cook complete meals or individual dishes and foods, Train staff in preparation, cooking and handling of food, Maintain inventory and records of food, supplies and equipment, Manage kitchen operations",,https://www.jobbank.gc.ca/jobsearch/jobposting/40095684?source=searchresults
truck owner operator,"Posted on March 07, 2024",Overland West,"Yellowknife, NT",,,,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40456193?source=searchresults
shift manager - fast food restaurant,"Posted on March 20, 2024",KFC/Taco Bell/Pizza Hut,"Yellowknife, NT",21.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",7 months to less than 1 year,"Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits",https://www.jobbank.gc.ca/jobsearch/jobposting/40571878;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
front desk agent,"Posted on February 10, 2024",Ptarmigan Inn Hotels Ltd,"Hay River, NT",17.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,Experience an asset,"Register arriving guests and assign rooms, Process group arrivals and departures, Take, cancel and change room reservations, Provide information on hotel facilities and services, Provide general information about points of interest in the area, Process guests' departures, calculate charges and receive payments, Balance cash and complete balance sheets, cash reports and related forms, Maintain an inventory of vacancies, reservations and room assignments, Follow emergency and safety procedures, Clerical duties (i.e. faxing, filing, photocopying), Answer telephone and relay telephone calls and messages, Assist clients/guests with special needs, Perform light housekeeping and cleaning duties, Provide customer service",Health care plan,https://www.jobbank.gc.ca/jobsearch/jobposting/40250788?source=searchresults
cook,"Posted on March 14, 2024",Dexterra,"Yellowknife, NT",,,,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40521059?source=searchresults
food service supervisor,"Posted on January 27, 2024",Ptarmigan Inn Hotels Ltd,"Hay River, NT",16.50 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Hire food service staff, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage, Establish work schedules","Health care plan, Group insurance benefits, Registered Retirement Savings Plan (RRSP), On-site housing options",https://www.jobbank.gc.ca/jobsearch/jobposting/40131547?source=searchresults
food service supervisor,"Posted on December 20, 2023",Yellowknife Restaurant Limited Partnership,"Yellowknife, NT",19.04 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,4 vacancies,English,"No degree, certificate or diploma",1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Hire food service staff, Ensure that food and service meet quality control standards, Prepare budget and cost estimates, Address customers' complaints or concerns, Maintain records of stock, repairs, sales and wastage, Prepare and submit reports, Establish work schedules, Cook (general), Food and beverage servers, Food service counter attendants and food preparers, Kitchen and food service helpers, 16-20 people, Working groups, Staff in various areas of responsibility","Dental plan, Disability benefits, Health care plan, Vision care benefits, Gratuities, Group insurance benefits, Life insurance",https://www.jobbank.gc.ca/jobsearch/jobposting/39839319?source=searchresults
sales representative - retail,"Posted on March 22, 2024",Overlander Sports Ltd.,"Yellowknife, NT",18.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"Secondary (high) school graduation certificate

or equivalent experience",3 years to less than 5 years,"Operate cash register, Operate computerized inventory record keeping and re-ordering systems, Provide advice about merchandise, Provide customer service, Assist in display of merchandise, Conduct sales transactions through Internet-based electronic commerce, Estimate or quote prices, credit or contract terms, warranties and delivery dates, Greet customers and discuss type, quality and quantity of merchandise or services sought for purchase, rental or lease, Maintain sales records for inventory control, Prepare merchandise for purchase, rental or lease, Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment",,https://www.jobbank.gc.ca/jobsearch/jobposting/40590027;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
food service supervisor,"Posted on February 05, 2024",A&W Yellowknife,"Yellowknife, NT",18.50 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,6 vacancies,English,"No degree, certificate or diploma",1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Ensure that food and service meet quality control standards, Address customers' complaints or concerns, Maintain records of stock, repairs, sales and wastage, Must have knowledge of the establishment's culinary genres, Food service counter attendants and food preparers, Kitchen and food service helpers",,https://www.jobbank.gc.ca/jobsearch/jobposting/40203020?source=searchresults
hospital cleaner,"Posted on March 12, 2024",Dexterra,"Yellowknife, NT",20.50 HOUR,37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,12 vacancies,English,"No degree, certificate or diploma",Experience an asset,"Sweep, mop, wash and polish floors, Make beds and change sheets, Clean, disinfect and polish kitchen and bathroom fixtures and appliances, Disinfect operating rooms and other areas, Clean and disinfect elevators, Handle and report lost and found items, Provide basic information on facilities, Pick up debris and empty trash containers, Clean changing rooms and showers","Dental plan, Disability benefits, Health care plan, Vision care benefits, Life insurance, Registered Retirement Savings Plan (RRSP)",https://www.jobbank.gc.ca/jobsearch/jobposting/40491049?source=searchresults
retail store department head,"Posted on February 23, 2024",The North West Company LP,"Fort Resolution, NT","47,500 YEAR",37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Hire and train or arrange for training of staff, Establish work schedules, Sell merchandise, Resolve issues that may arise, including customer requests, complaints and supply shortages","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits",https://www.jobbank.gc.ca/jobsearch/jobposting/40352027?source=searchresults
cashier,"Posted on March 27, 2024",Yellowknife Direct Charge Co-operative Ltd,"Yellowknife, NT",17.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"No degree, certificate or diploma",Experience an asset,"Operate cash register, Process money, cheques and credit/debit card payments, Scan items, Receive payment for goods or services, Stock shelves and clean counter area, Greet customers, Wrap or place merchandise in bags, Provide customer service",,https://www.jobbank.gc.ca/jobsearch/jobposting/40637127;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
esthetician,"Posted on December 16, 2023",Brows & Beyond by Sneha,"Yellowknife, NT",18.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Body care/treatments, Make custom designs for clients, Provide general information to customers on beauty products, Advise on beauty products suited to customers' colouring and skin type, Designing traditional tattoos, Apply make-up on customers, Eyebrow tinting, Provide scalp treatment, Apply make-up on models, Apply temporary designs to customer's skin, using electric needles and chemical dyes such as Mendhi (henna), Facials, Repair and mask aesthetic defects, Apply glycolic acid treatments, Perform cashiering duties, Provide product demonstrations, Schedule and confirm appointments, Sell establishments products, Relaxation massage, Skin care, Skin peels, Waxing, Refer clients with unusual skin conditions to physicians, Eyebrow threading, Eyelash extensions, Provide customer service",,https://www.jobbank.gc.ca/jobsearch/jobposting/39811923?source=searchresults
customer service representative - call centre,"Posted on March 01, 2024",Corothers Home Hardware Building Centre,"Yellowknife, NT",,,Full time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40402502?source=searchresults
cook,"Posted on February 13, 2024",New Star Ltd,"Yellowknife, NT",20.50 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40274973?source=searchresults
supervisor - retail,"Posted on February 16, 2024",Tri R Recycling Ltd.,"Hay River, NT",22.50 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Assign sales workers to duties, Hire and train or arrange for training of staff, Authorize payments by cheque, Establish work schedules, Prepare reports on sales volumes, merchandising and personnel matters, Organize and maintain inventory, Resolve issues that may arise, including customer requests, complaints and supply shortages, Supervise and co-ordinate activities of workers, Manage cash, 3-4 people, 5-10 people","Dental plan, Health care plan",https://www.jobbank.gc.ca/jobsearch/jobposting/40304365?source=searchresults
tour guide,"Posted on February 15, 2024",AURORA WONDERLAND TOURS INC.,"Yellowknife, NT",20.50 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,1 to less than 7 months,"Co-ordinate recreation activities, Describe points of interest, answer questions and supply information",Bonus,https://www.jobbank.gc.ca/jobsearch/jobposting/40294081?source=searchresults
"French as a second language teacher (except elementary, high school or university)","Posted on March 11, 2024",Conseil de développement économique des TNO,"Yellowknife, NT","95,784 YEAR",,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40484482?source=searchresults
food service counter attendant,"Posted on February 22, 2024",Soul Restaurants Canada Inc,"Yellowknife, NT",17.50 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"No degree, certificate or diploma",1 to less than 7 months,"Package take-out food, Portion and wrap foods, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits",https://www.jobbank.gc.ca/jobsearch/jobposting/40344205?source=searchresults
retail store supervisor,"Posted on January 25, 2024",The Rooster,"Hay River, NT",22.50 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Supervise staff (apprentices, stages hands, design team, etc.), Hire and train or arrange for training of staff, Order merchandise, Authorize return of merchandise, Sell merchandise, Prepare reports on sales volumes, merchandising and personnel matters, Resolve issues that may arise, including customer requests, complaints and supply shortages, Organize and maintain inventory, Supervise and co-ordinate activities of workers",,https://www.jobbank.gc.ca/jobsearch/jobposting/40610916?source=searchresults
dietary aide,"Posted on December 18, 2023",10647802 Canada Ltd,"Yellowknife, NT",16.75 HOUR,37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,4 vacancies,English,Secondary (high) school graduation certificate,Experience an asset,"Carrying and replace linen, Clean and sanitize items such as dishwasher mats, carts and waste disposal units, Clear and clean tables, trays and chairs, Operate dishwashers to wash dishes, glassware and flatware, Sanitize and wash dishes and other items by hand, Keep records of the quantities of food used, Prepare, heat and finish simple food items, Stock refrigerators and salad bars, Take customers' orders","Dental plan, Disability benefits, Health care plan, Vision care benefits, Life insurance",https://www.jobbank.gc.ca/jobsearch/jobposting/40206961?source=searchresults
cook,"Posted on December 18, 2023",Yellowknife Restaurant Limited Partnership,"Yellowknife, NT",20.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,8 vacancies,English,"No degree, certificate or diploma",1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Prepare and cook special meals for patients as instructed by dietitian or chef, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Inspect kitchens and food service areas, Train staff in preparation, cooking and handling of food, Order supplies and equipment, Supervise kitchen staff and helpers, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas, Recruit and hire staff, Cook (general)","Dental plan, Disability benefits, Health care plan, Vision care benefits, Gratuities, Group insurance benefits, Life insurance",https://www.jobbank.gc.ca/jobsearch/jobposting/39821800?source=searchresults
car rental agent,"Posted on February 13, 2024","DRIVING FORCE Vehicle Rentals, Sales and Leasing","Inuvik, NT",20.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,,"Dental plan, Disability benefits, Health care plan, Vision care benefits, Wellness program",https://www.jobbank.gc.ca/jobsearch/jobposting/40524946?source=searchresults
food counter attendant,"Posted on March 04, 2024",NSNCor Holdings Ltd,"Yellowknife, NT",17.00 HOUR,37.5 to 50 hours per week,Permanent employmentFull time,Starts as soon as possible,20 vacancies,English,"No degree, certificate or diploma",Experience an asset,"Bring clean dishes, flatware and other items to serving areas and set tables, Clean and sanitize items such as dishwasher mats, carts and waste disposal units, Clear and clean tables, trays and chairs, Load buspans and trays, Operate dishwashers to wash dishes, glassware and flatware, Place dishes in storage area, Replenish condiments and other supplies at tables and serving areas, Sanitize and wash dishes and other items by hand, Scour pots and pans, Keep records of the quantities of food used, Package take-out food, Portion and wrap foods, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders, Use manual and electrical appliances to clean, peel, slice and trim foodstuffs, Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment, Handle and store cleaning products, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas, Remove kitchen garbage and trash, Sweep, mop, wash and polish floors, Wash, peel and cut vegetables and fruit","Health care plan, Gratuities, Group insurance benefits, Free parking available, Learning/training paid by employer, On-site housing options, Other benefits",https://www.jobbank.gc.ca/jobsearch/jobposting/40419851?source=searchresults
assistant department manager - retail,"Posted on February 27, 2024",507493 N.W.T. Ltd.,"Yellowknife, NT",20.75 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Manage staff and assign duties, Determine staffing requirements, Resolve issues that may arise, including customer requests, complaints and supply shortages, Plan, organize, direct, control and evaluate daily operations, 5-10 people","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits, Group insurance benefits, Night shift premium, Long-term care insurance, Maternity and parental benefits",https://www.jobbank.gc.ca/jobsearch/jobposting/40377648?source=searchresults
hairstylist,"Posted on December 16, 2023",Brows & Beyond by Sneha,"Yellowknife, NT",17.19 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Book appointments, Cut and trim hair according to client's instructions or preferences, Shampoo customers' hair, Shave and trim beards and mustaches, Provide other hair treatment, such as waving, straightening and tinting and also provide scalp conditioning massages, Analyze hair and scalp condition and provide basic treatment or advice on beauty care treatments for scalp and hair, Apply bleach, tints, dyes or rinses to colour, frost or streak hair, Apply hair extensions, Cut, trim, taper, curl, wave, perm and style hair, Suggest hair style compatible with client's physical features and preferences, Perform receptionist duties",,https://www.jobbank.gc.ca/jobsearch/jobposting/39811925?source=searchresults
cook,"Posted on January 05, 2024",Aramark Canada Ltd.,"Inuvik, NT",20.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,7 vacancies,English,"No degree, certificate or diploma",1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Inspect kitchens and food service areas, Train staff in preparation, cooking and handling of food, Supervise kitchen staff and helpers, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas, Manage kitchen operations, Cook (general)","Dental plan, Health care plan, Vision care benefits",https://www.jobbank.gc.ca/jobsearch/jobposting/39952570?source=searchresults
restaurant cashier,"Posted on December 09, 2023",mainstreet donair & falafel,"Yellowknife, NT",17.00 HOUR,30 to 44 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,Bilingual,"Secondary (high) school graduation certificate

or equivalent experience",1 year to less than 2 years,"Operate cash register, Process money, cheques and credit/debit card payments, Greet customers",,https://www.jobbank.gc.ca/jobsearch/jobposting/39752607?source=searchresults
food service supervisor,"Posted on January 24, 2024",Tim Hortons,"Yellowknife, NT",18.33 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,5 vacancies,English,"No degree, certificate or diploma",1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage, Prepare and submit reports, Establish work schedules",,https://www.jobbank.gc.ca/jobsearch/jobposting/40098738?source=searchresults
cook,"Posted on December 18, 2023",Yellowknife Restaurant Limited Partnership,"Yellowknife, NT",16.05 HOUR,8 to 29 hours per week,Permanent employmentPart time,Starts as soon as possible,4 vacancies,English,"No degree, certificate or diploma",1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Prepare and cook special meals for patients as instructed by dietitian or chef, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Inspect kitchens and food service areas, Train staff in preparation, cooking and handling of food, Order supplies and equipment, Supervise kitchen staff and helpers, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas, Recruit and hire staff, Cook (general)","Dental plan, Disability benefits, Health care plan, Vision care benefits, Gratuities, Group insurance benefits, Life insurance",https://www.jobbank.gc.ca/jobsearch/jobposting/39821846?source=searchresults
hotel food and beverage service manager,"Posted on March 05, 2024",4912 N.W.T. Ltd.,"Yellowknife, NT",30.00 HOUR,30 to 35 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,College/CEGEP,2 years to less than 3 years,"Plan, organize, direct, control and evaluate daily operations, Determine type of services to be offered and implement operational procedures, Balance cash and complete balance sheets, cash reports and related forms, Conduct performance reviews, Cost products and services, Enforce provincial/territorial liquor legislation and regulations, Organize and maintain inventory, Monitor revenues and modify procedures and prices, Ensure health and safety regulations are followed, Negotiate arrangements with suppliers for food and other supplies, Negotiate with clients for catering or use of facilities, Participate in marketing plans and implementation, Set staff work schedules and monitor staff performance, Leading/instructing individuals, Address customers' complaints or concerns, Provide customer service",,https://www.jobbank.gc.ca/jobsearch/jobposting/40426497?source=searchresults
tilesetter,"Posted on January 22, 2024",6240 NWT Ltd.,"Inuvik, NT",33.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"No degree, certificate or diploma",1 year to less than 2 years,"Prepare, measure and mark surfaces to be covered, Mix, apply and spread mortar, cement, mastic, glue or other adhesives using hand trowel, Set tiles in place and apply pressure to affix them to base, Align and straighten tiles, Cut and fit tiles around obstacles and openings using hand and power cutting tools, Pack grout into joints between tiles and remove excess grout, Remove and replace cracked or damaged tiles, Mix, lay and polish terra surfaces",,https://www.jobbank.gc.ca/jobsearch/jobposting/40084882?source=searchresults
retail sales associate,"Posted on December 03, 2023",Southam Holdings Inc.,"Yellowknife, NT",18.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,Experience an asset,"Operate cash register, Operate computerized inventory record keeping and re-ordering systems, Provide advice about merchandise, Conduct sales transactions through Internet-based electronic commerce, Greet customers and discuss type, quality and quantity of merchandise or services sought for purchase, rental or lease, Maintain sales records for inventory control, Prepare merchandise for purchase, rental or lease",,https://www.jobbank.gc.ca/jobsearch/jobposting/39705187?source=searchresults
Aboriginal school community teacher - secondary school,"Posted on March 26, 2024",Northwest Territories School Boards,"Inuvik, NT",,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40636700?source=searchresults
cook,"Posted on January 29, 2024",Sushi North Inc,"Yellowknife, NT",18.75 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,3 years to less than 5 years,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Prepare and cook special meals for patients as instructed by dietitian or chef, Train staff in preparation, cooking and handling of food, Supervise kitchen staff and helpers, Cook (general)",,https://www.jobbank.gc.ca/jobsearch/jobposting/40151075?source=searchresults
,,,,,,,,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40370320?source=searchresults
project administration officer,"Posted on January 23, 2024",PLAN-ENG CONSULTING INC,"Fort Simpson, NT",39.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,English,Bachelor's degree,5 years or more,"Review and evaluate new administrative procedures, Carry out administrative activities of establishment, Co-ordinate and plan for office services such as accommodation, relocation, equipment, supplies, forms, disposal of assets, parking, maintenance and security services, Assist in the preparation of operating budget and maintain inventory and budgetary controls, Assemble data and prepare periodic and special reports, manuals and correspondence, Perform data entry, Oversee and co-ordinate office administrative procedures, 1 to 2 people","Health care plan, Parking available",https://www.jobbank.gc.ca/jobsearch/jobposting/40092213?source=searchresults
unmanned aerial vehicle (UAV) technician,"Posted on March 02, 2024",Intellibroad Inc.,"Yellowknife, NT",35.00 HOUR,30 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Bachelor's degree,3 years to less than 5 years,"Assist in inspection of mechanical installations and construction projects, Assist in the design of moulds, tools, dies, jigs and fixtures, Carry out a limited range of mechanical tests and analyses of machines, components and materials, Participate in machinery installation, repair and maintenance, Estimate costs and materials, Prepare and interpret engineering design, drawings and specifications, Prepare contracts and tenders, Prepare standards and schedules, Supervise maintenance programs or operation of mechanical plants, Supervise, monitor and inspect mechanical installations and construction projects, Technical writing, Test machines and equipment",,https://www.jobbank.gc.ca/jobsearch/jobposting/40412533?source=searchresults
cook,"Posted on February 28, 2024",AMRA Investments Ltd,"Yellowknife, NT",20.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Inspect kitchens and food service areas, Train staff in preparation, cooking and handling of food, Order supplies and equipment, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas, Manage kitchen operations",,https://www.jobbank.gc.ca/jobsearch/jobposting/40384497?source=searchresults
hotel food and beverage service manager,"Posted on March 14, 2024",Det'on Cho Bouwa Whee Catering LP,"Yellowknife, NT",29.19 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Plan, organize, direct, control and evaluate daily operations, Organize and maintain inventory, Monitor revenues and modify procedures and prices, Ensure health and safety regulations are followed, Set staff work schedules and monitor staff performance, Address customers' complaints or concerns, Provide customer service, Recruit, train and supervise staff",,https://www.jobbank.gc.ca/jobsearch/jobposting/40510713;jsessionid=BEC9AAAB13E243AF5E744839F428542B.jobsearch74?source=searchresults
"Regional Director, Operations – CanNor is looking for Executive Talent!","Posted on March 14, 2024",Canadian Northern Economic Development Agency,"Yellowknife, NT","134,827 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40512684?source=searchresults
sports and leisure director,"Posted on March 07, 2024",Foster Family Coalition of the Northwest Territories,"Yellowknife, NT","1,400 WEEKLY",40 hours per week,Seasonal employmentFull time,,1 vacancy,English,Bachelor's degree,3 years to less than 5 years,Staff in various areas of responsibility,,https://www.jobbank.gc.ca/jobsearch/jobposting/40450223?source=searchresults
Storesperson I,"Posted on March 05, 2024",Parks Canada - Wood Buffalo National Park,"Fort Smith, NT",26.86 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40430251?source=searchresults
apprentice plumber,"Posted on March 23, 2024",5437 Nunavut Ltd,"Yellowknife, NT",22.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40601871?source=searchresults
